Model,Precision,Recall,F1_Score,ROC_AUC,PR_AUC
LightGBM_ClassWeight,0.6140724946695096,0.7539267015706806,0.6768507638072856,0.9292736015297416,0.737486325672303
RandomForest_SMOTE,0.6503667481662592,0.6963350785340314,0.672566371681416,0.9238155054174114,0.7232851761322143
LightGBM_SMOTE,0.6632124352331606,0.6701570680628273,0.6666666666666666,0.9304013283528578,0.7373296749414117
XGBoost_ClassWeight,0.6388206388206388,0.680628272251309,0.6590621039290241,0.9224703701537624,0.7275764850631856
XGBoost_SMOTE,0.6459948320413437,0.6544502617801047,0.6501950585175552,0.9198754542056454,0.7222404636482975
RandomForest_ClassWeight,0.7235494880546075,0.5549738219895288,0.6281481481481481,0.9239763368076305,0.7297587629056767
